NEE,LE,LE_unc,H,H_unc,Tau,Tau_unc,CO2_strg,LE_strg,H_strg,Pa,Ta,RH,VPD,Rnet,Rg,G1,G2,G3,G4,Tsoil1,Tsoil2,VWC_1,VWC2,Precipitation,Windspeed,Winddir,FootprintFraction,Ustar,TKE,Tstar,L,zL,TER,GEP
2.303,-11.07,0.83975,-48.753,2.257,0.13813,0.007585,0.0070765,-0.28711,-0.050758,102.236,10.6,86.87,0.02,-65.32,0.0,1.104,-0.90476,3.2988,1.1241,7.7544,8.0464,0.31761,0.52194,0.0,4.0257,159.58,96,0.33,0.73515,-0.11688,65.306,0.023016,1.95521,-0.34479
1.1548,5.601,0.36163,-5.4754,0.63868,0.032322,0.0026778,0.035493,-0.070542,-0.14319,103.137,7.45,76.97,2.38,-2.933,0.0,0.32505,0.84853,0.75915,0.12738,6.6853,6.4947,0.17681,0.32648,0.0,2.3429,147.26,94,0.16,0.23141,-0.026701,65.568,0.02364,1.1258,-0.024199
0.51268,5.3636,2.9961,-13.941,0.93613,0.059025,0.0046598,-0.48252,0.10766,0.048772,99.633,8.32,89.99,1.09,-11.284,0.0,-1.461,-1.7956,-1.4998,-1.2759,7.0037,7.0571,0.36841,0.53387,0.0,2.3776,186.7,96,0.22,0.45392,-0.051222,65.711,0.021808,1.28295,0.77295
1.1987,5.1291,0.49985,-23.968,1.3613,0.031646,0.0024602,0.026324,-0.049562,-0.90841,101014.6,8.98,68.51,3.6,-54.533,0.0,7.3768,6.6719,5.4921,6.0206,9.5727,9.3416,0.57039,0.33982,0.0,2.1768,275.68,96,0.16,0.25212,-0.11968,14.871,0.10356,2.08743,0.88743
3.4063,0.26583,0.20577,-14.256,0.78255,0.018942,0.0012267,0.10715,-0.25657,-0.49978,102.906,7.02,81.99,1.8,-48.61,0.0,-22.588,-22.044,-24.558,-22.82,9.9406,8.8374,0.20196,0.4113,0.0,1.5909,289.23,96,0.12,0.08881,-0.090835,11.294,0.13665,3.63806,0.22806
0.9887,23.15,1.9855,8.2745,1.1185,0.03151,0.0042542,-0.21223,0.21756,0.25851,101.014,14.24,93.39,1.07,60.591,115.49,-8.843,-9.429,-12.68,-11.394,15.86,15.531,0.59526,0.78198,0.0,1.1461,251.04,97,0.16,0.26032,0.041677,-44.244,-0.032388,3.7202,2.7302
2.453,1.5692,0.50311,-3.4295,0.47891,0.0031749,0.00045318,0.32811,-0.77403,-0.46516,101.818,13.39,63.61,5.58,-9.028,10.94,0.80435,7.9927,8.1801,5.6082,14.526,13.519,0.23172,0.36696,0.0,0.46414,235.1,96,0.05,0.087019,-0.05423,3.3643,0.4359,4.05154,1.6015
6.9547,27.625,2.0209,-28.629,1.8474,0.069158,0.0054623,0.083994,-0.0090586,-0.25442,102.0,17.83,72.48,5.61,-10.09,0.0,6.5275,11.569,10.492,8.3986,17.72,17.2,0.12858,0.26278,0.0,1.7113,223.97,96,0.24,0.43199,-0.097478,42.025,0.036085,8.81016,1.8602
1.9522,-5.8335,0.35153,-10.596,0.81571,0.010546,0.00070698,0.066001,-0.24319,-0.7121,103.133,9.4,72.24,3.26,-58.004,0.0,-19.242,-0.61154,3.6876,-2.5607,10.419,11.35,0.066756,0.34379,0.0,1.8468,304.16,93,0.09,0.064285,-0.090755,6.3831,0.24283,2.67647,0.72647
2.6309,1.4166,0.35827,-32.701,2.0177,0.082001,0.0050675,0.034206,0.44502,-0.8064,101.463,3.48,60.97,3.05,-67.625,0.0,-25.924,-15.411,-12.153,-12.37,5.0849,6.8068,0.038687,0.20189,0.0,3.9413,306.61,91,0.25,0.59376,-0.10034,43.884,0.035321,2.51978,-0.11022
