# init omega gamma A f
1.496837267e+00 2.803519375e+00 6.240912580e-01 3.229857607e+01 4.997372889e+00
-3.761853920e-01 2.188174963e+00 5.876826531e-01 4.628100670e+00 4.431832112e+00
1.328993174e+00 1.920485455e+00 3.267280192e-01 1.477743310e+01 3.350294761e+00
-7.482857891e-01 2.865003790e+00 1.151659016e-01 2.829428127e+01 3.572343213e+00
-5.680352366e-01 8.242697680e-01 6.436521723e-01 3.455201705e+01 3.154173378e+00
-1.199193528e+00 2.997607202e+00 8.233379791e-02 1.893973965e+01 5.633377623e+00
-8.108538392e-01 1.196533546e+00 2.294442177e-01 2.107116578e+01 6.251111536e+00
-5.698034636e-01 9.763967974e-01 7.229037608e-01 4.248558524e-02 4.612760535e+00
1.457208830e+00 1.412806174e+00 7.991157891e-01 1.656872044e+01 5.758166361e+00
-7.421396146e-01 2.402737010e+00 7.724272015e-01 3.019785905e+01 3.361961476e+00
-1.852407768e-01 2.291326289e+00 6.987024682e-01 1.383643707e+01 5.153722473e+00
3.449943416e-01 2.859243249e+00 4.656738912e-01 2.271610064e+01 3.714064707e+00
1.141770871e+00 1.034469134e+00 5.108918477e-01 2.729275753e+01 6.059066843e+00
1.142199086e+00 1.173883109e+00 6.237777908e-01 2.528733802e+01 4.586269089e+00
5.491273239e-01 9.081467884e-01 2.429801651e-01 2.686261565e+01 4.828659010e+00
5.020054526e-01 2.926045812e+00 7.565918176e-01 5.847708478e+00 4.714434660e+00
7.402791727e-01 1.954969097e+00 6.517141698e-01 2.183820880e+01 6.196524246e+00
-8.705535135e-01 1.516159587e+00 4.470810755e-01 3.006095164e+01 5.344392242e+00
-1.029712180e+00 1.177704245e+00 2.863596023e-01 3.084824108e+01 4.940440677e+00
1.163103014e+00 3.075217760e+00 3.407915622e-01 1.973082086e+01 4.351298918e+00
-1.381164615e+00 2.187608460e+00 5.250940174e-01 3.735561064e+01 3.675830261e+00
5.767831745e-01 2.226657862e+00 1.053279685e-01 3.258971374e+00 3.708811378e+00
5.376873801e-01 2.395633059e+00 6.458582862e-01 7.371362517e+00 3.999674442e+00
3.485964607e-01 9.515538322e-01 2.371339242e-01 2.026308494e+01 3.565240392e+00
-1.381168838e+00 2.569056254e+00 1.843326785e-01 1.224724876e+01 6.015469395e+00
1.500195519e+00 1.521899702e+00 6.120433700e-01 3.617026165e+01 3.551085198e+00
-1.916918920e-01 2.271008528e+00 3.276277790e-01 1.544015622e+01 5.980710191e+00
1.023483676e-01 1.062048789e+00 2.842156209e-01 3.540253723e+01 3.343453185e+00
-1.560164617e+00 2.595234593e+00 4.636853943e-02 3.056477979e+01 4.406591975e+00
